request_date,request,job,event
01/10/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
01/11/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
01/12/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
01/13/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
01/14/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
01/15/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
01/16/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
01/17/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
01/18/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
01/19/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
01/20/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
01/21/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
01/22/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
01/23/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
01/24/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
01/25/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
01/26/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
01/27/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
01/28/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
01/29/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
01/30/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
01/31/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
02/01/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
02/02/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
02/03/26,"Our corporate office needs 100 presentation folders, 200 notepads, and 500 sticky notes.","Corporate Buyer","Quarterly Conference"
02/04/26,"I need 500 sheets of A4 paper, 200 sheets of construction paper, and 50 paper party bags for an upcoming school event.","School Admin","Spring Festival"
02/05/26,"Hello, please provide a quote for 1000 flyers, 20 large poster paper (24x36 inches), and 5 rolls of banner paper (36-inch width) for our marketing campaign.","Marketing Agency","Product Launch"
02/06/26,"We are a non-profit organizing a charity gala. Could we order 300 invitation cards, 300 envelopes, and 50 table covers?","Non-profit Coordinator","Charity Gala"
02/07/26,"Hi, I am looking to purchase 2000 disposable cups, 2000 paper plates, and 4000 paper napkins for our regional food festival next month.","Event Planner","Food Festival"
